"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 30 20:01:14 GMT 2025","Mon Jun 30 20:01:14 GMT 2025","708","FileWatcher","","","","","should detect external file changes",""
"passed","Mon Jun 30 20:01:14 GMT 2025","Mon Jun 30 20:01:15 GMT 2025","702","FileWatcher","","","","","should ignore internal writes when tracked",""
"passed","Mon Jun 30 20:01:17 GMT 2025","Mon Jun 30 20:01:17 GMT 2025","3","FileWatcher","","","","","should list watched files correctly",""
"passed","Mon Jun 30 20:01:14 GMT 2025","Mon Jun 30 20:01:14 GMT 2025","0","timeUtils","","","","","isValidTime rejects bad input",""
"passed","Mon Jun 30 20:01:14 GMT 2025","Mon Jun 30 20:01:14 GMT 2025","2","timeUtils","","","","","dateToDateString should format date as YYYY-MM-DD",""
"passed","Mon Jun 30 20:01:15 GMT 2025","Mon Jun 30 20:01:17 GMT 2025","1902","FileWatcher","","","","","should detect changes after tracking window expires",""
"passed","Mon Jun 30 20:01:14 GMT 2025","Mon Jun 30 20:01:14 GMT 2025","0","timeUtils","","","","","dateToTimeSlotString should combine date and time",""
"passed","Mon Jun 30 20:01:17 GMT 2025","Mon Jun 30 20:01:17 GMT 2025","1","FileWatcher","","","","","should stop all watchers",""
"passed","Mon Jun 30 20:01:14 GMT 2025","Mon Jun 30 20:01:14 GMT 2025","20","timeUtils","","","","","dateToTime should format time with am/pm",""
"passed","Mon Jun 30 20:01:47 GMT 2025","Mon Jun 30 20:01:48 GMT 2025","308","chromium","basic.spec.ts","","","","homepage loads",""
"passed","Mon Jun 30 20:01:17 GMT 2025","Mon Jun 30 20:01:17 GMT 2025","1","FileWatcher","","","","","should stop watching specific files",""
"passed","Mon Jun 30 20:01:17 GMT 2025","Mon Jun 30 20:01:17 GMT 2025","8","FileWatcher","","","","","should handle non-existent files gracefully",""
"passed","Mon Jun 30 20:01:14 GMT 2025","Mon Jun 30 20:01:14 GMT 2025","0","timeUtils","","","","","isValidDate accepts today",""
"passed","Mon Jun 30 20:01:14 GMT 2025","Mon Jun 30 20:01:14 GMT 2025","0","timeUtils","","","","","isValidTimeSlot accepts a valid slot",""
"passed","Mon Jun 30 20:01:14 GMT 2025","Mon Jun 30 20:01:14 GMT 2025","0","timeUtils","","","","","isValidTime accepts 09:00am",""
